SourceFile,Title,Artist,Model,Description,Label,ImageHeight,ImageWidth
Origami/20240313_124330.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_164926.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165037.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165041.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165046.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165057_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165110_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165112_01.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165123.jpg,,,SM-G9900,,,2252,4000
Origami/20240316_165127.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_111119.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_111137.jpg,,,SM-G9900,,,2951,1659
Origami/20240318_111300.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_112948.jpg,,,SM-G9900,,,2252,4000
Origami/20240318_113008.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230317.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230320.jpg,,,SM-G9900,,,2252,4000
Origami/20240325_230327.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185708.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185804.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185806.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185816.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185831.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_185901.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190624.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190634.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190637.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190640.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190645.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190649.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190653.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190656.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190744.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190754.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190811.jpg,,,SM-G9900,,,2252,4000
Origami/20240327_190816.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125655.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125714.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125742.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125746.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125810.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125820.jpg,,,SM-G9900,,,2252,4000
Origami/20240328_125826.jpg,,,SM-G9900,,,2252,4000
Origami/Cat.jpg,Cats,JoNakashima,SM-G9900,Myballs3,,2252,4000
Origami/OrigamiMainTest.jpg,,,SM-G9900,,,2252,4000
Origami/Penguin.jpg,,,SM-G9900,,,2252,4000
Origami/Penguin2.jpg,,,SM-G9900,,,2252,4000
Origami/short image.png,,,SM-G9900,,,1033,2206
Origami/square image.png,,Jo Nakashima,Peacock,This is my folding of the peacock by jo nakashima in the square form,1,2426,2233
Origami/Sun.jpg,,,SM-G9900,,,2252,4000
Origami/Whale.jpg,,,SM-G9900,,,2252,4000
